Identifier;Type;Address;Assignee;Annote;Author;Booktitle;Chapter;Day;Dayfiled;Edition;Editor;Howpublish;Institution;Journal;Language;Month;Monthfiled;Nationality;Note;Number;Organization;Pages;Publisher;Revision;School;Series;Title;RepType;Volume;Year;Yearfiled;URL;Custom1;Custom2;Custom3;Custom4;Custom5;ISBN
HansenGillert2008;5;;;;Hansen, Wolf-Ruediger and Gillert, Frank;RFID for the Optimization of Business Processes;;;;;;;;;;;;;;;;9--35;John Wiley \& Sons, Ltd;;;;Vision, Reality and Market Drivers;;;2008;;http://dx.doi.org/10.1002/9780470754160.ch2;;;;;;9780470754160
HarrisonEckmanHamiltonEtAl2010;7;Riverton, NJ, USA;;;Harrison, C. and Eckman, B. and Hamilton, R. and Hartswick, P. and Kalagnanam, J. and Paraszczak, J. and Williams, P.;;;;;;;;;IBM J. Res. Dev.;;July;;;;4;;350--365;IBM Corp.;;;;Foundations for Smarter Cities;;54;2010;;http://dx.doi.org/10.1147/JRD.2010.2048257;;;;;;
Hasan2015;7;Hershey, PA, USA;;;Hasan, M. Mahmudul;;;;;;;;;Int. J. E-Services Mob. Appl.;;January;;;;1;;22--49;IGI Global;;;;E-Government Service Research Development: A Literature Review;;7;2015;;http://dx.doi.org/10.4018/ijesma.2015010102;;;;;;
HavelkaMerhout2013;7;;;;Douglas Havelka and Jeffrey W. Merhout;;;;;;;;;International Journal of Accounting Information Systems ;;;;;;3;;165 - 192;;;;;Internal information technology audit process quality: Theory development using structured group processes ;;14;2013;;http://www.sciencedirect.com/science/article/pii/S1467089512000760;;;;;;
HeidariFeldenKoschtial2013;6;Chicago, IL, United states;;;Heidari, Maryam and Felden, Carsten and Koschtial, Claudia;;;;;;;;;19th Americas Conference on Information Systems, AMCIS 2013 - Hyperconnected World: Anything, Anywhere, Anytime;English;;;;"Financial analysis;Financial statements;Footnotes;Integration approach;State of the art;Technical standards;Unstructured data;XBRL;";;;2108 - 2116;;;;;Integration of structured and unstructured data in the financial analysis domain - A state of the art;;3;2013;;;;;;;;
HendersonSheetzTrinkle2012;7;;;;Dave Henderson and Steven D. Sheetz and Brad S. Trinkle;;;;;;;;;International Journal of Accounting Information Systems ;;;;;XBRL: Research Implications and Future Directions ;2;;109 - 140;;;;;The determinants of inter-organizational and internal in-house adoption of XBRL: A structural equation model ;;13;2012;;http://www.sciencedirect.com/science/article/pii/S1467089512000139;;;;;;
HeraviLycettCesare2014;7;;;;Bahareh Rahmanzadeh Heravi and Mark Lycett and Sergio de Cesare;;;;;;;;;International Journal of Accounting Information Systems ;;;;;Business Process Modeling ;3;;275 - 297;;;;;Ontology-based standards development: Application of OntoStanD to ebXML business process specification schema ;;15;2014;;http://www.sciencedirect.com/science/article/pii/S1467089514000062;;;;;;
HillTroshani2010;7;Inderscience Publishers, Geneva, SWITZERLAND;;;Hill, Sally Rao and Troshani, Indrit;;;;;;;;;Int. J. Mob. Commun.;;February;;;;2;;150--168;Inderscience Publishers;;;;"Factors Influencing the Adoption of Personalisation Mobile Services\&\#58; Empirical Evidence from Young Australians";;8;2010;;http://dx.doi.org/10.1504/IJMC.2010.031445;;;;;;
HoffmanWatson2009;7;;;;Hoffman, Charles and Watson, Liv;;;;;;;;;;;;;;;;;;John Wiley \& Sons;;;;XBRL for Dummies;;;2009;;;;;;;;
Hogan2011;13;;;;Aidan Hogan;;;;;;;;;;;;;;;;;;;;;;Exploiting RDFS and OWL for Integrating Heterogeneous, Large-Scale, Linked Data Corpora;;;2011;;;;;;;;
HoganMeeganParmarEtAl2011;7;Riverton, NJ, USA;;;Hogan, J. and Meegan, J. and Parmar, R. and Narayan, V. and Schloss, R. J.;;;;;;;;;IBM J. Res. Dev.;;January;;;;1\&2;;42--51;IBM Corp.;;;;Using Standards to Enable the Transformation to Smarter Cities;;55;2011;;http://dx.doi.org/10.1147/JRD.2010.2091051;;;;;;
HoltzblattTschakert2011;7;;;;Mark Holtzblatt and Norbert Tschakert;;;;;;;;;Journal of Accounting Education ;;;;;;2–3;;100 - 121;;;;;Expanding your accounting classroom with digital video technology ;;29;2011;;http://www.sciencedirect.com/science/article/pii/S0748575111000686;;;;;;
HoskinsBattCalvello2009;5;;;;Hoskins, Tony and Batt, Martin and Calvello, Angelo A.;Environmental Alpha;;;;;;;;;;;;;;;;347--368;John Wiley \& Sons, Inc.;;;;Corporate Responsibility and Environmental Investing;;;2009;;http://dx.doi.org/10.1002/9781118266748.ch15;;;;;;9781118266748
HouqeRimmel2014;7;;;;Muhammad Nurul Houqe and Gunnar Rimmel;;;;;;;;;The International Journal of Accounting ;;;;;;3;;397 - 401;;;;;The Routledge companion to accounting communicationRoutledge companions in business, management and accounting, Lisa Jack, Jane Davison, Russell Craig (Eds.). Routledge, London and New York (2013) ;;49;2014;;http://www.sciencedirect.com/science/article/pii/S0020706314000715;;;;;;
HuangLangeAuer2015;6;New York, NY, USA;;;"Huang, Jyun-Yao and Lange, Christoph and Auer, S\""{o}ren";Proceedings of the 11th International Conference on Semantic Systems;;;;;;;;;;;;;;;;129--136;ACM;;;SEMANTICS '15;Streaming Transformation of XML to RDF Using XPath-based Mappings;;;2015;;http://doi.acm.org/10.1145/2814864.2814880;;;;;;978-1-4503-3462-4
HulstijnWijkWinneEtAl2011;6;New York, NY, USA;;;Hulstijn, Joris and van Wijk, Remco and de Winne, Niels and Bharosa, Nitesh and Janssen, Marijn and Tan, Yao-Hua;Proceedings of the 12th Annual International Digital Government Research Conference: Digital Government Innovation in Challenging Times;;;;;;;;;;;;;;;;141--150;ACM;;;dg.o '11;Public Process Management: A Method for Introducing Standard Business Reporting;;;2011;;http://doi.acm.org/10.1145/2037556.2037577;;;;;;978-1-4503-0762-8
IliasGhani2015;7;;;;Azleen Ilias and Erlane K. Ghani;;;;;;;;;Procedia Economics and Finance ;;;;;7th \{INTERNATIONAL\} \{CONFERENCE\} \{ON\} \{FINANCIAL\} \{CRIMINOLOGY\} 2015, 7th \{ICFC\} 2015, 13-14 April 2015,Wadham College, Oxford University, United Kingdom ;;;32 - 38;;;;;Examining the Adoption of Extensible Business Reporting Language among Public Listed Companies in Malaysia ;;28;2015;;http://www.sciencedirect.com/science/article/pii/S2212567115010783;;;;;;
ILIASRAZAKRAZAK2014;7;;;;ILIAS, AZLEEN and RAZAK, ZULKEFLEE MOHD ABD and RAZAK, SITI FARA FADILA ABD;;;;;;;;;Journal of Internet Banking \& Commerce;;;;;;2;;;;;;;The Awareness of the Extensible Business Reporting Language (XBRL) In Malaysia.;;19;2014;;;;;;;;
IonescuIonescuMihaiEtAl2012;7;;;;Bogdan Ionescu and Iuliana Ionescu and Florin Mihai and Andrei Stanciu;;;;;;;;;Procedia Economics and Finance ;;;;;International Conference Emerging Markets Queries in Finance and Business, Petru Maior University of Tîrgu-Mures, ROMANIA, October 24th - 27th, 2012 ;;;1170 - 1176;;;;;XSRL–Taxonomy of Scientific Reporting ;;3;2012;;http://www.sciencedirect.com/science/article/pii/S2212567112002924;;;;;;
JannerLampathakiHoyerEtAl2008;7;;;;T Janner and F Lampathaki and V Hoyer and S Mouzakitis and Y Charalabidis and C Schroth;;;;;;;;;Journal of Theoretical and Applied Electronic Commerce Research;;;;;;3;;1--16;;;;;A core component-based modelling approach for achieving e-business semantics interoperability;;;2008;;;;;;;;
JansAllesVasarhelyi2013;7;;;;Mieke Jans and Michael Alles and Miklos Vasarhelyi;;;;;;;;;International Journal of Accounting Information Systems ;;;;;;1;;1 - 20;;;;;The case for process mining in auditing: Sources of value added and areas of application ;;14;2013;;http://www.sciencedirect.com/science/article/pii/S1467089512000462;;;;;;
JanssenBharosaWinneEtAl2011;7;Hershey, PA, USA;;;Janssen, Marijn and Bharosa, Nitesh and de Winne, Niels and van Wijk, Remco and Hulstijn, Joris;;;;;;;;;Int. J. Electron. Gov. Res.;;October;;;;4;;35--45;IGI Global;;;;Transforming Public-Private Networks An XBRL-Based Infrastructure for Transforming Business-to-Government Information Exchange;;7;2011;;http://dx.doi.org/10.4018/jegr.2011100103;;;;;;
JanssenEstevez2013;7;;;;Marijn Janssen and Elsa Estevez;;;;;;;;;Government Information Quarterly ;;;;;\{ICEGOV\} 2011 Supplement ;;;S1 - S8;;;;;Lean government and platform-based governance—Doing more with less ;;30, Supplement 1;2013;;http://www.sciencedirect.com/science/article/pii/S0740624X12001517;;;;;;
JanssenZuiderwijk2014;7;Thousand Oaks, CA, USA;;;Janssen, Marijn and Zuiderwijk, Anneke;;;;;;;;;Soc. Sci. Comput. Rev.;;October;;;;5;;694--711;Sage Publications, Inc.;;;;Infomediary Business Models for Connecting Open Data Providers and Users;;32;2014;;http://dx.doi.org/10.1177/0894439314525902;;;;;;
JanvrinMascha2014;7;;;;Diane Janvrin and Maureen Francis Mascha;;;;;;;;;International Journal of Accounting Information Systems ;;;;;"2013 Research Symposium on Information Integrity \&amp; Information Systems Assurance ";4;;381 - 399;;;;;The financial close process: Implications for future research ;;15;2014;;http://www.sciencedirect.com/science/article/pii/S1467089514000335;;;;;;
JanvrinRaschkeDilla2014;7;;;;Diane J. Janvrin and Robyn L. Raschke and William N. Dilla;;;;;;;;;Journal of Accounting Education ;;;;;;4;;31 - 48;;;;;Making sense of complex data using interactive data visualization ;;32;2014;;http://www.sciencedirect.com/science/article/pii/S074857511400075X;;;;;;
JeongNaYou2014;7;Hingham, MA, USA;;;Jeong, Joon-Soo and Na, Kwan-Sik and You, Yen-Yoo;;;;;;;;;Cluster Computing;;September;;;;3;;817--826;Kluwer Academic Publishers;;;;A Case Study of Financial Statements Reporting System Based on XBRL Taxonomy in Accordance with Korean Public Institutions Adoption of K-IFRS;;17;2014;;http://dx.doi.org/10.1007/s10586-013-0293-4;;;;;;
Jia2011;6;;;;Jia, Yazhe;{INTERNATIONAL CONFERENCE ON ENGINEERING AND BUSINESS MANAGEMENT (EBM2011), VOLS 1-6};;;;;;;;;;;;;{2nd International Conference on Engineering and Business Management, Wuhan, PEOPLES R CHINA, MAR 22-24, 2011};;"{Wuhan Univ; Zhejiang Univ; Chung Hua Univ; James Madison Univ; Sci Res Publishing; Engn Informat Inst; Chongqing VIP Informat Co Ltd}";{534-537};;;;;The Analysis and Prospect of Network Financial Report Based on XBRL;;;{2011};;;;;;;;{978-1-935068-19-8}
JiangRaghupathiRaghupathi2009;7;Hershey, PA, USA;;;Jiang, Yabing and Raghupathi, Viju and Raghupathi, Wullianallur;;;;;;;;;Inf. Resour. Manage. J.;;April;;;;2;;50--68;IGI Global;;;;Web-Based Corporate Governance Information Disclosure: An Empirical Investigation;;22;2009;;http://dx.doi.org/10.4018/irmj.2009092203;;;;;;
JiangRaghupathi2010;7;Hershey, PA, USA;;;Jiang, Yabing and Raghupathi, Wullianallur;;;;;;;;;Inf. Resour. Manage. J.;;October;;;;4;;1--20;IGI Global;;;;IT-Enabled Corporate Governance: The Characteristics and Determinants of Web-based Corporate Governance Disclosures;;23;2010;;http://dx.doi.org/10.4018/irmj.2010100101;;;;;;
JimeiYuzhouMeijie2013;7;;;;Jimei, Li and Yuzhou, Hu and Meijie, Du;;;;;;;;;IT Professional;;;;;;6;;36--42;IEEE;;;;XBRL in the Chinese Financial Ecosystem;;15;2013;;;;;;;;
JimeiYuzhouMeijie2013a;7;;;;Li Jimei and Hu Yuzhou and Du Meijie;;;;;;;;;{IT PROFESSIONAL};;{NOV-DEC};;;;{6};;{36-42};;;;;XBRL in the Chinese Financial Ecosystem;;{15};{2013};;;;;;;;
Jr.2010;7;;;;Clinton E. White Jr.;;;;;;;;;International Journal of Accounting Information Systems ;;;;;"2009 Research Symposium on Information Integrity \&amp; Information Systems Assurance ";3;;274 - 278;;;;;Discussion of 'Assurance on \XBRL\ instance document: A conceptual framework of assertions - A discussion and extension' ;;11;2010;;http://www.sciencedirect.com/science/article/pii/S1467089510000515;;;;;;
Khanna2008;5;Burlington;;;Ayesha Khanna;Straight Through Processing for Financial Services ;;;;;Khanna, Ayesha ;;;;;;;;;;;69 - 89;Academic Press;;;Complete Technology Guides for Financial Services;Chapter 4 - Industry Standards ;;;2008;;http://www.sciencedirect.com/science/article/pii/B9780124664708500062;;;;;;978-0-12-466470-8
KlievinkJanssenTan2012;6;New York, NY, USA;;;Klievink, Bram and Janssen, Marijn and Tan, Yao-Hua;Proceedings of the 13th Annual International Conference on Digital Government Research;;;;;;;;;;;;;;;;183--191;ACM;;;dg.o '12;Blurring Public-private Boundaries: Governance of Information Sharing in Global Trade Networks;;;2012;;http://doi.acm.org/10.1145/2307729.2307758;;;;;;978-1-4503-1403-9
KloosHulstijnSeckEtAl2014;6;New York, NY, USA;;;Kloos, Martin and Hulstijn, Joris and Seck, Mamadou and Janssen, Marijn;Revised Selected Papers of the SEFM 2013 Collocated Workshops on Software Engineering and Formal Methods - Volume 8368;;;;;;;;;;;;;;;;288--305;Springer-Verlag New York, Inc.;;;;XBRL-Driven Business Process Improvement: A Simulation Study in the Accounting Domain;;;2014;;http://dx.doi.org/10.1007/978-3-319-05032-4_21;;;;;;978-3-319-05031-7
KotbRoberts2011;7;;;;Kotb, Amr and Roberts, Clare;;;;;;;;;International Journal of Auditing;;;;;;2;;150--175;Blackwell Publishing Ltd;;;;The Impact of E-Business on the Audit Process: An Investigation of the Factors Leading to Change;;15;2011;;http://dx.doi.org/10.1111/j.1099-1123.2011.00427.x;;;;;;
KotbRobertsSian2012;7;;;;Amr Kotb and Clare Roberts and S. Sian;;;;;;;;;Critical Perspectives on Accounting ;;;;;;6;;468 - 482;;;;;E-business audit: Advisory jurisdiction or occupational invasion? ;;23;2012;;http://www.sciencedirect.com/science/article/pii/S1045235412000664;;;;;;
KotzeOlivier2010a;10;;;;Kotze, D. and Olivier, M.;;;;;;;;;9th European Conference on Information Warfare and Security 2010, ECIW 2010;;;;;cited By 0;;;151-159;;;;;Detecting XML data irregularities by means of lexical analysis and parsing;;;2010;;http://www.scopus.com/inward/record.url?eid=2-s2.0-84873140878&partnerID=40&md5=04d200e541b81b706db5dd05766402c1;;;;;;
KotzeOlivier2010b;6;Thessaloniki, Greece;;;Kotze, Dirk and Olivier, Martin;;;;;;;;;9th European Conference on Information Warfare and Security 2010, ECIW 2010;English;;;;"Digital forensic;Grammar;Lex and yacc;Lexical analysis;XBRL;";;;151 - 159;;;;;Detecting XML data irregularities by means of lexical analysis and parsing;;;2010;;;;;;;;
KotzeOlivier2010;6;;;;Kotze, Dirk and Olivier, Martin;{PROCEEDINGS OF THE 9TH EUROPEAN CONFERENCE ON INFORMATION WARFARE AND SECURITY};;;;;{Demergis, J};;;;;;;;{9th European Conference on Information Warfare and Security, Univ Macedonia, Thessaloniki, GREECE, JUL 01-02, 2010};;;{151-159};;;;;Detecting XML Data Irregularities by Means of Lexical Analysis and Parsing;;;{2010};;;;;;;;{978-1-906638-66-5}
Krebsz2011;5;;;;Krebsz, Markus;Securitization and Structured Finance Post Credit Crunch;;;;;;;;;;;;;;;;431--432;John Wiley \& Sons, Ltd.;;;;Appendix C: List of abbreviations;;;2011;;http://dx.doi.org/10.1002/9781119973812.app3;;;;;;9781119973812
KriegerKieferDeclerck2008;6;;;;H-U Krieger and B Kiefer and T Declerck;In AAAI 2008 Spring Symposium on AI Meets Business Rules and Process Management;;;;;;;;;;;;;;;;59--70;AAAI;;;;A framework for temporal representation and reasoning in business intelligence applications;;;2008;;;;;;;;
Kropp2009;7;;;;Matthias Kropp;;;;;;;;;The International Journal of Accounting ;;;;;;3;;307 - 310;;;;;International accounting (international edition), Sixth Edition, Frederick D.S. Choi, Gary K. Meek (Eds.). Pearson Education, Upper Saddle River, NJ, \USA\ (2008) ;;44;2009;;http://www.sciencedirect.com/science/article/pii/S0020706309000454;;;;;;
Kunzler2002;7;;;;Kunzler, Uwe;;;;;;;;;Statistical Journal of the United Nations Economic Commission for Europe;English;;;;"Electronic data reporting (EDR);";3;;119 - 130;;;;;Electronic data reporting (EDR), metadata, standards and the European statistical system (ESS);;19;2002;;;;;;;;
Lopez-CoboLosadaCicurelEtAl2008;7;;;;L{\'o}pez-Cobo, Jos{\'e}-Manuel and Losada, Silvestre and Cicurel, Laurent and Bas, Jos{\'e} Luis and Bellido, Sergio and Benjamins, Richard;;;;;;;;;Ontology Management;;;;;;;;229--244;Springer US;;;;Ontology Management in e-Banking Applications;;;2008;;;;;;;;
LampathakiMouzakitisGionisEtAl2009;7;;;;Fenareti Lampathaki and Spiros Mouzakitis and George Gionis and Yannis Charalabidis and Dimitris Askounis;;;;;;;;;Computer Standards \& Interfaces ;;;;;;6;;1045 - 1055;;;;;Business to business interoperability: A current review of \XML\ data integration standards ;;31;2009;;http://www.sciencedirect.com/science/article/pii/S0920548908001633;;;;;;
LampertThompson2010;6;New York, NY, USA;;;Lampert, Sam and Thompson, Kate;Proceedings of the 4th International Conference on Theory and Practice of Electronic Governance;;;;;;;;;;;;;;;;137--142;ACM;;;ICEGOV '10;The Importance of Sharing Information: Using NIEM to Improve Governance in Developing Countries;;;2010;;http://doi.acm.org/10.1145/1930321.1930351;;;;;;978-1-4503-0058-2
LaraCantadorCastells2008;5;;;;Lara, Rubén and Cantador, Iván and Castells, Pablo;The Semantic Web;;;;;Cardoso, Jorge and Hepp, Martin and Lytras, MiltiadisD.;;;;English;;;;;;;41-74;Springer US;;;Semantic Web And Beyond Computing for Human Experience;Semantic Web Technologies For The Financial Domain;;6;2008;;http://dx.doi.org/10.1007/978-0-387-48531-7_3;;;;;;978-0-387-48530-0
LeeGotoHuEtAl2014;5;;;;Lee, Vivian and Goto, Masatomo and Hu, Bo and Naseer, Aisha and Vandenbussche, Pierre-Yves and Shakair, Gofran and Rodrigues, EduardaMendes;Service Science and Knowledge Innovation;;;;;Liu, Kecheng and Gulliver, StephenR. and Li, Weizi and Yu, Changrui;;;;English;;;;;;;116-125;Springer Berlin Heidelberg;;;IFIP Advances in Information and Communication Technology;Exploiting Linked Data in Financial Engineering;;426;2014;;http://dx.doi.org/10.1007/978-3-642-55355-4_12;;;;;;978-3-642-55354-7
LeenheerDebruynePeeters2009a;6;;;;P De Leenheer and C Debruyne and J Peeters;In: Workshop on Collaborative Construction, Management and Linking of Structured Knowledge at the International Semantic Web Conference;;;;;;;;;;;;;;;;;;;;;Towards social performance indicators for community-based ontology evolution;;;2009;;;;;;;;
LightstoneDriscoll2008;7;;;;Lightstone, Karen and Driscoll, Cathy;;;;;;;;;Canadian Journal of Administrative Sciences / Revue Canadienne des Sciences de l'Administration;;;;;;1;;7--21;John Wiley \& Sons, Ltd.;;;;Disclosing elements of disclosure: a test of legitimacy theory and company ethics;;25;2008;;http://dx.doi.org/10.1002/cjas.50;;;;;;
Liu2013a;7;Hershey, PA, USA;;;Liu, Chunhui;;;;;;;;;J. Glob. Inf. Manage.;;July;;;;3;;60--80;IGI Global;;;;XBRL: A New Global Paradigm for Business Financial Reporting;;21;2013;;http://dx.doi.org/10.4018/jgim.2013070104;;;;;;
LiuWangYao2014;7;;;;Chunhui Liu and Tawei Wang and Lee J. Yao;;;;;;;;;Journal of Accounting and Public Policy ;;;;;;1;;69 - 82;;;;;XBRL’s impact on analyst forecast behavior: An empirical study ;;33;2014;;http://www.sciencedirect.com/science/article/pii/S0278425413000914;;;;;;
LockeLoweLymer2015;7;;;;Locke, Joanne and Lowe, Alan and Lymer, Andy;;;;;;;;;Accounting \& Finance;;;;;;1;;213--240;;;;;Interactive data and retail investor decision-making: an experimental study;;55;2015;;http://dx.doi.org/10.1111/acfi.12048;;;;;;
LockeLymerLoweEtAl;10;;;;Joanne Locke and Andrew Lymer and Alan Lowe and Gillian Knight and Joanne Locke and Andrew Lymer and Alan Lowe;;;;;;;;;;;;;;;;;;;;;;ANALYSIS OF INTERACTIVE DATA FROM THE PERSPECTIVE OF NON-PROFESSIONAL INVESTORS;;;;;;;;;;;
"LorcaAndr&x00e9;esMart&x00ed;nez2012";7;New York, NY, USA;;;"Lorca, Pedro and Andr\&\#x00e9;es, Javier De and Mart\&\#x00ed;nez, Ana B.";;;;;;;;;J. Am. Soc. Inf. Sci. Technol.;;February;;;;2;;392--405;"John Wiley \&amp; Sons, Inc.";;;;Size and Culture As Determinants of the Web Policy of Listed Firms: The Case of Web Accessibility in Western European Countries;;63;2012;;http://dx.doi.org/10.1002/asi.21650;;;;;;
LorcaAndreesMartinez2012;7;;;;Lorca, Pedro and Andrées, Javier De and Martínez, Ana B.;;;;;;;;;Journal of the American Society for Information Science and Technology;;;;;;2;;392--405;Wiley Subscription Services, Inc., A Wiley Company;;;;Size and culture as determinants of the web policy of listed firms: The case of web accessibility in Western European countries;;63;2012;;http://dx.doi.org/10.1002/asi.21650;;;;;;
LovellMacKenzie2012;5;;;;Lovell, Heather and MacKenzie, Donald;The New Carbon Economy;;;;;;;;;;;;;;;;107--133;John Wiley \& Sons, Ltd;;;;Accounting for Carbon: The Role of Accounting Professional Organisations in Governing Climate Change;;;2012;;http://dx.doi.org/10.1002/9781118315835.ch6;;;;;;9781118315835
LoweLockeLymer2012;7;;;;Alan Lowe and Joanne Locke and Andy Lymer;;;;;;;;;Critical Perspectives on Accounting ;;;;;Accounterability Special Issue for \{CPA\} ;3;;183 - 200;;;;;The SEC's retail investor 2.0: Interactive data and the rise of calculative accountability ;;23;2012;;http://www.sciencedirect.com/science/article/pii/S1045235411001705;;;;;;
Luisi2014;5;Boston;;;James V. Luisi;Pragmatic Enterprise Architecture ;;;;;Luisi, James V. ;;;;;;;;;;;189 - 261;Morgan Kaufmann;;;;Part \IV\ - Information Architecture ;;;2014;;http://www.sciencedirect.com/science/article/pii/B9780128002056000044;;;;;;978-0-12-800205-6
Luisi2014a;5;Boston;;;James V. Luisi;Pragmatic Enterprise Architecture ;;;;;Luisi, James V. ;;;;;;;;;;;57 - 188;Morgan Kaufmann;;;;Part \III\ - Information Systems ;;;2014;;http://www.sciencedirect.com/science/article/pii/B9780128002056000032;;;;;;978-0-12-800205-6
Luna-ReyesPardoSayogoEtAl2012;6;New York, NY, USA;;;Luna-Reyes, Luis F. and Pardo, Theresa A. and Sayogo, Djoko Sigit and Tayi, Giri Kumar and Andersen, David F. and Zhang, Jing and Hrdinova, Jana;Proceedings of the 6th International Conference on Theory and Practice of Electronic Governance;;;;;;;;;;;;;;;;1--4;ACM;;;ICEGOV '12;Beyond Open Government: Ontologies and Data Architectures to Support Ethical Consumption;;;2012;;http://doi.acm.org/10.1145/2463728.2463730;;;;;;978-1-4503-1200-4
Lupiani-RuizGarcia-ManotasValencia-GarciaEtAl2011;7;;;;Eduardo Lupiani-Ruiz and Ignacio García-Manotas and Rafael Valencia-García and Francisco García-Sánchez and Dagoberto Castellanos-Nieves and Jesualdo Tomás Fernández-Breis and Juan Bosco Camón-Herrero;;;;;;;;;Expert Systems with Applications ;;;;;;12;;15565 - 15572;;;;;Financial news semantic search engine ;;38;2011;;http://www.sciencedirect.com/science/article/pii/S0957417411008980;;;;;;
MacdonaldYuilleStantonEtAl2009;6;New York, NY, USA;;;Macdonald, Hugh and Yuille, Jeremy and Stanton, Reuben and Viller, Stephen;Proceedings of the 21st Annual Conference of the Australian Computer-Human Interaction Special Interest Group: Design: Open 24/7;;;;;;;;;;;;;;;;193--200;ACM;;;OZCHI '09;The Social Life of Visualization;;;2009;;http://doi.acm.org/10.1145/1738826.1738858;;;;;;978-1-60558-854-4
Madden2011;7;Hershey, PA, USA;;;Madden, Paul;;;;;;;;;Int. J. E-Bus. Res.;;April;;;;2;;1--10;IGI Global;;;;Greater Accountability, Less Red Tape: The Australian Standard Business Reporting Experience;;7;2011;;http://dx.doi.org/10.4018/jebr.2011040101;;;;;;
MagalhaesRoseiraManley2014;6;New York, NY, USA;;;Magalhaes, Gustavo and Roseira, Catarina and Manley, Laura;Proceedings of the 8th International Conference on Theory and Practice of Electronic Governance;;;;;;;;;;;;;;;;365--370;ACM;;;ICEGOV '14;Business Models for Open Government Data;;;2014;;http://doi.acm.org/10.1145/2691195.2691273;;;;;;978-1-60558-611-3
Marchetti2011;5;;;;Marchetti, Anne M.;Enterprise Risk Management Best Practices;;;;;;;;;;;;;;;;120--131;John Wiley \& Sons, Inc.;;;;Ongoing Compliance Overview;;;2011;;http://dx.doi.org/10.1002/9781118386699.ch13;;;;;;9781118386699
MarkelevichShawWeihs2015;7;;;;Markelevich, Ariel and Shaw, Lewis and Weihs, Hagit;;;;;;;;;Accounting Perspectives;;;;;;2;;117--133;;;;;The Israeli XBRL Adoption Experience;;14;2015;;http://dx.doi.org/10.1111/1911-3838.12044;;;;;;
MarkelevichShawWeihs2015a;7;;;;Markelevich, Ariel and Shaw, Lewis and Weihs, Hagit;;;;;;;;;{ACCOUNTING PERSPECTIVES};;{JUN};;;;{2};;{117-133};;;;;The Israeli XBRL Adoption Experience;;{14};{2015};;;;;;;;
MarquesSantosSantos2015;7;Hershey, PA, USA;;;Marques, Rui Pedro and Santos, Henrique and Santos, Carlos;;;;;;;;;Int. J. Enterp. Inf. Syst.;;January;;;;1;;13--32;IGI Global;;;;Monitoring Organizational Transactions in Enterprise Information Systems with Continuous Assurance Requirements;;11;2015;;http://dx.doi.org/10.4018/ijeis.2015010102;;;;;;
Maartensson2010;7;;;;Maria Mårtensson;;;;;;;;;The International Journal of Accounting ;;;;;;4;;493 - 496;;;;;Visualising intangibles: Measuring and reporting in the knowledge economy, Stefano Zambon, Giuseppe Marzo (Eds.). Ashgate, Aldershot, \UK\ (2007) ;;45;2010;;http://www.sciencedirect.com/science/article/pii/S0020706310000890;;;;;;
MaussBleilBalloniEtAl2008;7;;;;Mauss, C{\'e}zar Volnei and Bleil, Claudecir and Balloni, Antonio Jos{\'e} and Vanti, Adolfo Alberto;;;;;;;;;Innovations and Advanced Techniques in Systems, Computing Sciences and Software Engineering;;;;;;;;111--115;Springer Netherlands;;;;XBRL in Public Administration as a Way to Evince and Scale the Use of Information;;;2008;;;;;;;;
Mayer2011;6;Berlin, Heidelberg;;;"Mayer, J\""{o}rg H.";Proceedings of the 6th International Conference on Service-oriented Perspectives in Design Science Research;;;;;;;;;;;;;;;;276--290;Springer-Verlag;;;DESRIST'11;Managing the Future: Six Guidelines for Designing Environmental Scanning Systems;;;2011;;http://dl.acm.org/citation.cfm?id=2008579.2008604;;;;;;978-3-642-20632-0
MayerSteineckeQuickEtAl2013;7;Secaucus, NJ, USA;;;"Mayer, J\""{o}rg H. and Steinecke, Neon and Quick, Reiner and Weitzel, Timm";;;;;;;;;Inf. Syst. E-bus. Manag.;;December;;;;4;;507--540;Springer-Verlag New York, Inc.;;;;"More Applicable Environmental Scanning Systems Leveraging ""Modern"" Information Systems";;11;2013;;http://dx.doi.org/10.1007/s10257-012-0207-7;;;;;;
MeilickeGarciA-CastroFreitasEtAl2012;7;Amsterdam, The Netherlands, The Netherlands;;;Meilicke, Christian and Garc\'{\i}A-Castro, Ra\'{u}L and Freitas, Fred and Van Hage, Willem Robert and Montiel-Ponsoda, Elena and Ribeiro De Azevedo, Ryan and Stuckenschmidt, Heiner and \v{S}V\'{a}B-Zamazal, Ond\v{r}Ej and Sv\'{a}Tek, Vojtch and Tamilin, Andrei and Trojahn, C\'{a}Ssia and Wang, Shenghui;;;;;;;;;Web Semant.;;September;;;;;;62--68;Elsevier Science Publishers B. V.;;;;MultiFarm: A Benchmark for Multilingual Ontology Matching;;15;2012;;http://dx.doi.org/10.1016/j.websem.2012.04.001;;;;;;
